age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,target
43.0,Private,186358.0,Ass,11.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40.0,United-States,1.0
40.0,Private,76711.0,Bachelors,13.0,Married-civ-spouse,Adm-clerical,Husband,White,Male,0.0,0.0,40.0,United-States,1.0
43.0,Private,219906.0,Bachelors,13.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,40.0,United-States,1.0
42.0,Private,142696.0,Bachelors,13.0,Married-c,Handlers-cleaners,Wife,White,Female,0.0,0.0,40.0,United-States,1.0
39.0,Private,176106.0,HS-grad,9.0,Married-c,Adm-clerical,Husband,White,Male,0.0,0.0,40.0,United-States,1.0
39.0,Private,171492.0,Masters,14.0,Never,Prof-specialty,Not-in-family,White,Male,0.0,1485.0,40.0,United-States,1.0
53.0,Private,198990.0,HS-grad,9.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,40.0,United-States,1.0
44.0,Private,208536.0,HS-grad,9.0,Divorced,Sales,Own-child,White,Female,0.0,0.0,45.0,United-States,1.0
45.0,Private,321838.0,HS-grad,9.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40.0,United-States,1.0
39.0,Private,149716.0,Some-college,10.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,40.0,United-States,1.0
50.0,Private,123032.0,Some-,10.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,40.0,United-States,1.0
33.0,State-gov,141412.0,Prof-school,15.0,Married,Prof-specialty,Husband,White,Male,0.0,0.0,40.0,United-States,1.0
52.0,Self-emp-inc,155569.0,Bachelors,13.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,40.0,United-States,1.0
48.0,Private,119565.0,Bachelors,13.0,Married-civ-spouse,Exec,Husband,White,Male,0.0,0.0,45.0,United-States,1.0
47.0,Private,163925.0,Bachelors,13.0,Married,Exec-managerial,Husband,White,Male,8614.0,0.0,40.0,United-States,1.0
34.0,Local-gov,119904.0,Bachelors,13.0,Married,Prof-specialty,Husband,White,Male,0.0,0.0,50.0,United-States,1.0
39.0,Private,252080.0,Masters,14.0,Married-civ-spouse,Prof-,Husband,White,Male,0.0,0.0,45.0,United-States,1.0
44.0,Private,93478.0,Bachelors,13.0,Married-civ,Tech-support,Husband,White,Male,0.0,0.0,40.0,United-States,1.0
38.0,State-gov,187798.0,HS-grad,9.0,Never-married,Protective-serv,Not-in-family,White,Male,0.0,0.0,60.0,United-States,1.0
56.0,Private,51711.0,HS-grad,9.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,40.0,United-States,1.0
34.0,Private,221572.0,Masters,14.0,Married-civ-,Exec-managerial,Husband,White,Male,0.0,0.0,40.0,United-States,1.0
41.0,Private,174432.0,Some-college,10.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,40.0,United-States,1.0
55.0,Private,157588.0,Bachelors,13.0,Married-c,Exec-managerial,Husband,White,Male,0.0,0.0,45.0,United-States,1.0
48.0,Private,199094.0,Bachelors,13.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,1848.0,60.0,United-States,1.0
46.0,Private,132373.0,Some-college,10.0,Married-c,Other-service,Husband,White,Male,0.0,0.0,50.0,United-States,1.0
54.0,Private,62428.0,Masters,14.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,40.0,United-States,1.0
44.0,Private,16.0,Masters,14.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,50.0,United-States,1.0
48.0,Private,123011.0,Bachelors,13.0,Married-civ-sp,Sales,Husband,White,Male,0.0,0.0,45.0,United-States,1.0
56.0,Private,140119.0,B,13.0,Married-civ-spouse,Tech-support,Wife,White,Female,0.0,0.0,40.0,United-States,1.0
47.0,Self-emp-inc,134778.0,Bachelors,13.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,50.0,United-States,1.0
43.0,Private,2234.0,Bachelors,13.0,Married-civ,Prof-specialty,Husband,White,Male,0.0,0.0,40.0,United-States,1.0
43.0,Private,124960.0,Masters,14.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,50.0,United-States,1.0
44.0,Self-emp-inc,155077.0,Bachelors,13.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,40.0,United-States,1.0
37.0,Private,403938.0,Masters,14.0,Never-married,Exec-manager,Not-in-family,White,Female,0.0,0.0,35.0,United-States,1.0
35.0,Local-gov,68957.0,Bachelors,13.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,40.0,United-States,1.0
70.0,Private,177799.0,Some-college,10.0,Married-civ-spouse,Transport-moving,Husband,White,Male,0.0,0.0,40.0,United-States,1.0
54.0,Private,244529.0,Some-college,10.0,Married-civ-spouse,Sales,Hus,Black,Male,0.0,0.0,50.0,United-States,1.0
55.0,Private,225539.0,Masters,14.0,Married-civ-sp,Exec-managerial,Wife,White,Female,0.0,0.0,50.0,United-States,1.0
28.0,Self-emp-not-inc,124434.0,Masters,14.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,99999.0,0.0,40.0,United-States,1.0
51.0,Private,588018.0,B,13.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,50.0,United-States,1.0
35.0,Private,223080.0,HS-grad,9.0,Married-civ-sp,Sales,Wife,White,Female,0.0,0.0,40.0,United-States,1.0
37.0,Private,14.0,Masters,14.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,50.0,United-States,1.0
50.0,Private,164561.0,Bachelors,13.0,Married-civ,Prof-specialty,Wife,White,Female,0.0,0.0,45.0,United-States,1.0
29.0,Private,202693.0,Some-college,10.0,Married-civ,Craft-repair,Husband,White,Male,0.0,0.0,45.0,United-States,1.0
42.0,Private,284912.0,Some-,10.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,50.0,United-States,1.0
53.0,Private,1878.0,Some-college,10.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,40.0,United-States,1.0
42.0,Private,182401.0,HS-grad,9.0,Married-,Exec-managerial,Husband,White,Male,0.0,0.0,60.0,United-States,1.0
40.0,Private,153092.0,HS-grad,9.0,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,0.0,0.0,40.0,Philippines,1.0
45.0,Local-gov,146768.0,Masters,14.0,Married-c,Prof-specialty,Husband,White,Male,0.0,0.0,40.0,United-States,1.0
41.0,Private,131584.0,Masters,14.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,40.0,United-States,1.0
59.0,Private,180151.0,Bachelors,13.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,40.0,United-States,1.0
35.0,Private,12.0,Masters,14.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,40.0,United-States,1.0
36.0,Local-gov,163813.0,Bachelors,13.0,Separated,Adm-clerical,Not-in-family,White,Female,0.0,0.0,45.0,United-States,1.0
35.0,Private,185864.0,Bachelors,13.0,Married-civ-spouse,Adm-clerical,Wife,White,Female,0.0,0.0,40.0,United-States,1.0
41.0,Private,104032.0,Bachelors,13.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,7688.0,0.0,45.0,United-States,1.0
35.0,Private,514.0,HS-grad,9.0,Divorced,Sales,Not-in-family,White,Male,15024.0,0.0,40.0,United-States,1.0
35.0,Private,109547.0,Masters,14.0,Married-civ-,Prof-specialty,Husband,White,Male,0.0,0.0,40.0,United-States,1.0
48.0,Local-gov,282460.0,HS-grad,9.0,Married-civ-spouse,Protective-serv,Husband,White,Male,0.0,0.0,40.0,United-States,1.0
48.0,Private,53933.0,Some-college,10.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,42.0,United-States,1.0
55.0,Private,271229.0,Some-college,10.0,Married-civ-spouse,Transport-moving,Husband,White,Male,7298.0,0.0,35.0,United-States,1.0
48.0,Private,346416.0,Bachelors,13.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,40.0,United-States,1.0
40.0,Self-emp-inc,227958.0,Prof-school,15.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,60.0,United-States,1.0
37.0,Private,175931.0,HS-grad,9.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,40.0,United-States,1.0
59.0,Private,344624.0,HS-grad,9.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,40.0,United-States,1.0
37.0,State-gov,89511.0,Masters,14.0,Never-married,Prof-specialty,Not-in-family,White,Male,0.0,0.0,40.0,United-States,1.0
57.0,Private,132943.0,Masters,14.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,50.0,United-States,1.0
41.0,Private,206862.0,HS-grad,9.0,Never,Craft-repair,Not-in-family,White,Male,0.0,0.0,40.0,United-States,1.0
34.0,Self-emp-inc,111567.0,Masters,14.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,50.0,United-States,1.0
42.0,Private,131842.0,Masters,14.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,40.0,United-States,1.0
35.0,Private,233935.0,Masters,14.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,50.0,United-States,1.0
51.0,Private,124967.0,HS-grad,9.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40.0,United-States,1.0
50.0,Private,282593.0,Some-college,10.0,Married-civ,Craft-repair,Husband,White,Male,0.0,0.0,40.0,United-States,1.0
47.0,Private,227913.0,Bachel,13.0,Widowed,Exec-managerial,Unmarried,White,Female,8614.0,0.0,40.0,United-States,1.0
43.0,Private,236786.0,HS-grad,9.0,Divorced,Craft-repair,Not-in,White,Male,0.0,0.0,40.0,United-States,1.0
39.0,Private,120126.0,Bachelors,13.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,50.0,United-States,1.0
44.0,Private,163034.0,Bachelors,13.0,Married-civ-,Sales,Husband,White,Male,0.0,0.0,35.0,United-States,1.0
50.0,Private,149879.0,HS-grad,9.0,Married-c,Prof-specialty,Husband,White,Male,0.0,0.0,40.0,United-States,1.0
45.0,Private,214874.0,Assoc-acdm,12.0,Married-civ-spouse,Adm-clerical,Husband,White,Male,0.0,0.0,40.0,United-States,1.0
50.0,Private,117905.0,Masters,14.0,Married-civ-spouse,Sales,Wife,White,Female,0.0,0.0,55.0,United-States,1.0
44.0,Private,203560.0,Some-college,10.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,75.0,United-States,1.0
44.0,Private,120131.0,Some-college,10.0,Married-civ-spouse,Exec-managerial,Husband,Black,Male,0.0,0.0,30.0,United-States,1.0
37.0,Private,162638.0,Bachel,13.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,40.0,United-States,1.0
50.0,Local-gov,95582.0,Some-college,10.0,Married-civ-spouse,Protective-serv,Husband,White,Male,0.0,0.0,40.0,United-States,1.0
60.0,Private,237890.0,Bachelors,13.0,Married-c,Prof-specialty,Husband,White,Male,0.0,0.0,55.0,United-States,1.0
47.0,State-gov,146934.0,Assoc-voc,11.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40.0,United-States,1.0
37.0,Private,152982.0,Masters,14.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,45.0,United-States,1.0
40.0,Private,93811.0,Bachelors,13.0,Married-civ-spouse,Exec-managerial,Wife,White,Female,0.0,0.0,40.0,United-States,1.0
41.0,Private,152061.0,Bachelors,13.0,Married-civ-spouse,Prof-specialty,Wife,White,Female,0.0,0.0,35.0,United-States,1.0
51.0,Private,52852.0,HS-grad,9.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,40.0,United-States,1.0
54.0,Private,22201.0,Bachelors,13.0,Married-civ-spouse,Exec,Husband,White,Male,0.0,0.0,40.0,United-States,1.0
