LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,target
360000.0,2,3,1,36.0,-2,-2,-2,-2,-2,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
30000.0,2,2,1,30.0,2,2,2,2,2,2,18383.0,17820.0,18612.0,19310.0,20232.0,17869.0,0.0,2000.0,0.0,1400.0,1600.0,1500.0,1.0
80000.0,2,2,2,28.0,-2,-2,-2,-2,-2,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10000.0,2,2,1,33.0,1,-2,-2,-2,-2,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
180000.0,2,1,1,46.0,1,2,2,2,0,0,108492.0,10486.0,121246.0,123778.0,12862.0,120132.0,0.0,0.0,0.0,0.0,30.0,1100.0,1.0
300000.0,1,1,1,27.0,-2,-2,-2,-2,-2,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
200000.0,2,1,1,25.0,1,-2,-2,-2,-2,-2,-108.0,-108.0,-108.0,-108.0,-108.0,-108.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
360000.0,2,1,1,43.0,-2,-2,-2,-2,-2,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
20000.0,2,2,1,39.0,2,0,0,0,0,0,18383.0,15246.0,18860.0,18969.0,18056.0,20701.0,1254.0,1246.0,1200.0,1200.0,1200.0,600.0,1.0
20000.0,1,1,1,49.0,0,0,0,0,0,0,155456.0,154350.0,144350.0,141276.0,153536.0,155832.0,7000.0,8000.0,5000.0,5000.0,6000.0,5500.0,1.0
100000.0,2,2,1,37.0,2,2,2,0,0,0,98885.0,96235.0,91525.0,91559.0,91492.0,92907.0,5500.0,6200.0,4200.0,4000.0,4200.0,3200.0,1.0
130000.0,2,2,1,30.0,-2,-2,-2,-2,-2,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6000.0,0.0,0.0,0.0,0.0,1.0
30000.0,1,2,2,24.0,2,2,2,3,3,6,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
20000.0,2,2,2,31.0,2,2,2,2,2,2,60764.0,18500.0,19527.0,19000.0,19000.0,19000.0,0.0,2200.0,0.0,0.0,0.0,0.0,1.0
160000.0,2,3,1,31.0,2,0,2,2,0,2,149085.0,121521.0,129410.0,129892.0,131658.0,131119.0,2600.0,2700.0,5400.0,0.0,0.0,0.0,1.0
30000.0,1,1,2,32.0,1,2,2,0,0,2,17963.0,16981.0,7091.0,1516.0,0.0,0.0,0.0,0.0,0.0,3200.0,0.0,595.0,1.0
20000.0,2,2,2,31.0,2,2,0,0,0,0,789.0,8900.0,875.0,845.0,845.0,845.0,0.0,1310.0,0.0,0.0,0.0,0.0,1.0
360000.0,2,1,2,31.0,1,-2,-2,-2,-2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
130000.0,2,2,2,43.0,2,2,2,2,2,2,118031.0,118878.0,126686.0,121813.0,125532.0,121477.0,13000.0,0.0,5100.0,5100.0,0.0,0.0,1.0
360000.0,1,2,2,27.0,-2,-2,-2,-2,-2,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
130000.0,2,2,1,46.0,0,0,0,0,0,0,121232.0,121178.0,114964.0,121348.0,121251.0,122534.0,5200.0,4.0,4100.0,11000.0,12000.0,12000.0,1.0
60000.0,1,2,1,39.0,-1,-1,0,-2,-2,-2,1143.0,1000.0,1000.0,0.0,0.0,0.0,2000.0,1000.0,0.0,0.0,0.0,0.0,1.0
90000.0,2,3,2,25.0,1,2,2,0,0,0,49766.0,46991.0,48764.0,49723.0,48907.0,49723.0,1500.0,0.0,1000.0,1000.0,1800.0,2000.0,1.0
50000.0,2,2,1,46.0,2,2,0,2,2,2,48737.0,47944.0,48147.0,48145.0,50767.0,49716.0,0.0,3000.0,2100.0,3000.0,0.0,0.0,1.0
